map,cycles_per_km,amplitude_levels
ours_eroded,0.2869339241188759,38.49642987275897
ours_eroded,0.28956634544106746,39.31102407961017
ours_eroded,0.29219876676325895,39.41981073977609
ours_eroded,0.2948311880854505,39.953812413628604
ours_eroded,0.29746360940764205,40.17304050826434
ours_eroded,0.30009603072983354,40.14427849283121
ours_eroded,0.3027284520520251,42.21054122228682
ours_eroded,0.3053608733742166,43.78597587187215
ours_eroded,0.3079932946964081,44.03221765707773
ours_eroded,0.3106257160185996,43.14692226732483
ours_eroded,0.31325813734079117,42.156701220586605
ours_eroded,0.31589055866298266,43.724344575122245
ours_eroded,0.3185229799851742,45.3474508978021
ours_eroded,0.32115540130736575,45.752671521495465
ours_eroded,0.32378782262955724,44.216464134038205
ours_eroded,0.3264202439517488,44.42555623436258
ours_eroded,0.3290526652739403,42.58265320717412
ours_eroded,0.33168508659613183,45.241146617988754
ours_eroded,0.3343175079183233,45.651349275011675
ck3_vanilla,0.005264842644383045,43207.30578051508
ck3_vanilla,0.01052968528876609,20178.75490515153
ck3_vanilla,0.015794527933149134,10949.104990122441
ck3_vanilla,0.02105937057753218,6977.031858700252
ck3_vanilla,0.026324213221915225,4537.717393616617
ck3_vanilla,0.03158905586629827,2796.8296512467255
ck3_vanilla,0.03685389851068131,1980.2360657963388
ck3_vanilla,0.04211874115506436,1334.275303065014
ck3_vanilla,0.047383583799447404,1050.3736647103995
ck3_vanilla,0.05264842644383045,832.8164682103884
ck3_vanilla,0.05791326908821349,672.0758872012572
ck3_vanilla,0.06317811173259653,596.9877786481479
ck3_vanilla,0.06844295437697959,491.27655449467443
ck3_vanilla,0.07370779702136263,425.2274199809971
ck3_vanilla,0.07897263966574566,360.0260138762469
ck3_vanilla,0.08423748231012872,304.0295570428057
ck3_vanilla,0.08950232495451176,260.2801569621867
ck3_vanilla,0.09476716759889481,236.5278124622224
ck3_vanilla,0.10003201024327785,215.37107044718724
ck3_vanilla,0.1052968528876609,187.43420567721952
ck3_vanilla,0.11056169553204394,167.68171230204928
ck3_vanilla,0.11582653817642698,148.02843208506354
ck3_vanilla,0.12109138082081003,132.51013701865836
ck3_vanilla,0.12635622346519307,125.99572920058245
ck3_vanilla,0.1316210661095761,114.46918003192529
ck3_vanilla,0.13688590875395917,103.4538263584314
ck3_vanilla,0.1421507513983422,93.72598874370927
ck3_vanilla,0.14741559404272525,88.09319494733694
ck3_vanilla,0.1526804366871083,83.74247781036833
ck3_vanilla,0.15794527933149133,77.85981273039626
ck3_vanilla,0.1632101219758744,73.23708289903045
ck3_vanilla,0.16847496462025743,67.00342764252348
ck3_vanilla,0.17373980726464047,61.663261108666944
ck3_vanilla,0.1790046499090235,58.00349541765502
ck3_vanilla,0.18426949255340658,54.00949139908559
ck3_vanilla,0.18953433519778962,51.0059283035911
ck3_vanilla,0.19479917784217265,48.362106713793786
ck3_vanilla,0.2000640204865557,44.93507975855686
ck3_vanilla,0.20532886313093873,41.56015075338141
ck3_vanilla,0.2105937057753218,39.676405018727316
ck3_vanilla,0.21585854841970484,37.77559400558612
ck3_vanilla,0.22112339106408788,36.54698023467359
ck3_vanilla,0.22638823370847092,34.327950359959424
ck3_vanilla,0.23165307635285395,32.47513225105532
ck3_vanilla,0.23691791899723702,30.434271081880855
ck3_vanilla,0.24218276164162006,29.046048704359382
ck3_vanilla,0.2474476042860031,27.467533109836967
ck3_vanilla,0.25271244693038614,26.350006230240865
ck3_vanilla,0.2579772895747692,25.533448032609797
ck3_vanilla,0.2632421322191522,24.619637498767215
ck3_vanilla,0.26850697486353525,23.663656383411766
ck3_vanilla,0.27377181750791835,22.705643507866395
ck3_vanilla,0.2790366601523014,22.44136794444172
ck3_vanilla,0.2843015027966844,21.692395274340907
ck3_vanilla,0.28956634544106746,20.899669250741443
ck3_vanilla,0.2948311880854505,20.131923931328874
ck3_vanilla,0.30009603072983354,19.51946071280588
ck3_vanilla,0.3053608733742166,18.797131968743113
ck3_vanilla,0.3106257160185996,18.088667206434828
ck3_vanilla,0.31589055866298266,17.464265439356968
ck3_vanilla,0.32115540130736575,16.67520628188581
ck3_vanilla,0.3264202439517488,16.205802876875577
ck3_vanilla,0.33168508659613183,15.6128275890969
ck3_vanilla,0.33694992924051487,15.145303336123044
ck3_vanilla,0.3422147718848979,14.722854934166607
ck3_vanilla,0.34747961452928094,14.205654662568515
ck3_vanilla,0.352744457173664,13.749324837369862
ck3_vanilla,0.358009299818047,13.156112048533155
ck3_vanilla,0.36327414246243006,12.793949325535714
ck3_vanilla,0.36853898510681316,12.475913814044501
ck3_vanilla,0.3738038277511962,12.085002847834636
ck3_vanilla,0.37906867039557923,11.862229705789815
ck3_vanilla,0.38433351303996227,11.502094368438527
ck3_vanilla,0.3895983556843453,11.272771417267016
ck3_vanilla,0.39486319832872835,11.021952187864864
ck3_vanilla,0.4001280409731114,10.614522282538553
ck3_vanilla,0.4053928836174944,10.414114887144011
ck3_vanilla,0.41065772626187746,10.048167132243075
ck3_vanilla,0.4159225689062605,9.859583303302506
ck3_vanilla,0.4211874115506436,9.483546155918875
ck3_vanilla,0.42645225419502664,9.298011935753538
ck3_vanilla,0.4317170968394097,9.176261808205215
ck3_vanilla,0.4369819394837927,8.927829384832004
ck3_vanilla,0.44224678212817575,8.794185938014527
ck3_vanilla,0.4475116247725588,8.613965737647874
ck3_vanilla,0.45277646741694183,8.606699070848864
ck3_vanilla,0.45804131006132487,8.477448969979084
ck3_vanilla,0.4633061527057079,8.286253292395783
ck3_vanilla,0.468570995350091,8.085439711762055
ck3_vanilla,0.47383583799447404,7.871733420698722
ck3_vanilla,0.4791006806388571,7.7924872650327695
ck3_vanilla,0.4843655232832401,7.667175542119019
ck3_vanilla,0.48963036592762316,7.4641022432579485
ck3_vanilla,0.4948952085720062,7.440365164433051
ck3_vanilla,0.5001600512163893,7.414270336932112
ck3_vanilla,0.5054248938607723,7.255865092211292
ck3_vanilla,0.5106897365051554,7.136899949176012
ck3_vanilla,0.5159545791495384,7.085317169535572
ck3_vanilla,0.5212194217939214,6.982279277781957
ck3_vanilla,0.5264842644383044,6.930722893328841
ck3_vanilla,0.5317491070826875,6.833862026486944
ck3_vanilla,0.5370139497270705,6.738170754157462
ck3_vanilla,0.5422787923714536,6.673984746135343
ck3_vanilla,0.5475436350158367,6.559933484822256
ck3_vanilla,0.5528084776602197,6.505275943327722
ck3_vanilla,0.5580733203046028,6.44073322517594
ck3_vanilla,0.5633381629489858,6.426074764593401
ck3_vanilla,0.5686030055933688,6.408486287478685
ck3_vanilla,0.5738678482377518,6.3574670791835866
ck3_vanilla,0.5791326908821349,6.279969568802465
ck3_vanilla,0.5843975335265179,6.179722204618322
ck3_vanilla,0.589662376170901,6.042608440053733
ck3_vanilla,0.5949272188152841,6.06874860695913
ck3_vanilla,0.6001920614596671,6.011028277051224
ck3_vanilla,0.6054569041040502,6.0001134425246105
ck3_vanilla,0.6107217467484332,5.892547771693046
ck3_vanilla,0.6159865893928163,5.903549199735095
ck3_vanilla,0.6212514320371992,5.899478093981483
ck3_vanilla,0.6265162746815823,5.797894157791703
ck3_vanilla,0.6317811173259653,5.759552975880431
ck3_vanilla,0.6370459599703484,5.754721910972539
ck3_vanilla,0.6423108026147315,5.72531603417746
ck3_vanilla,0.6475756452591145,5.709155939688803
ck3_vanilla,0.6528404879034976,5.656193224328983
ck3_vanilla,0.6581053305478806,5.560294437830187
ck3_vanilla,0.6633701731922637,5.533667618129974
ck3_vanilla,0.6686350158366466,5.396923415770733
