set,name,width,height,mode,bytes,path
ck3_mask,northern_hills_01_mask.png,9216,4608,L,46147,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/northern_hills_01_mask.png
ck3_mask,northern_plains_01_mask.png,9216,4608,L,711296,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/northern_plains_01_mask.png
ck3_mask,oasis_mask.png,9216,4608,L,291599,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/oasis_mask.png
ck3_mask,plains_01_dry_mask.png,9216,4608,L,2025222,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/plains_01_dry_mask.png
ck3_mask,plains_01_dry_mud_mask.png,9216,4608,L,2066310,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/plains_01_dry_mud_mask.png
ck3_mask,plains_01_mask.png,9216,4608,L,3332140,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/plains_01_mask.png
ck3_mask,plains_01_noisy_mask.png,9216,4608,L,1626237,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/plains_01_noisy_mask.png
ck3_mask,plains_01_rough_mask.png,9216,4608,L,3104865,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/plains_01_rough_mask.png
ck3_mask,snow_mask.png,9216,4608,L,921719,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/snow_mask.png
ck3_mask,steppe_01_mask.png,9216,4608,L,3443703,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/steppe_01_mask.png
ck3_mask,steppe_bushes_mask.png,9216,4608,L,2643776,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/steppe_bushes_mask.png
ck3_mask,steppe_grass_mask.png,9216,4608,L,1381612,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/steppe_grass_mask.png
ck3_mask,steppe_rocks_mask.png,9216,4608,L,1035647,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/steppe_rocks_mask.png
ck3_mask,summer_grass_mask.png,9216,4608,L,186272,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/summer_grass_mask.png
ck3_mask,wetlands_02_mask.png,9216,4608,L,635601,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/wetlands_02_mask.png
ck3_mask,wetlands_02_mud_mask.png,9216,4608,L,289673,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/wetlands_02_mud_mask.png
ck3_mask,winter_effect_mask.png,9216,4608,L,185697,/home/cvdbdo/.local/share/Steam/steamapps/common/Crusader Kings III/game/gfx/map/terrain/masks/winter_effect_mask.png
