source,count,message_shape
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_kerch': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_varanasi': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_vatsagulma': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_pagan': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_garwhal': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'barony'X'b_JAV_Mataram': barony, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_baduspan': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_kiev': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_henan': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_jingzhou_N': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_goseong': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""There'X'county'X'c_gaeseong': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: k_orthodox: k_orthodox, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: k_switzerland: k_switzerland, near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: k_ireland: k_ireland, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: e_hindustan: e_hindustan, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: e_byzantium: e_byzantium, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: h_india: h_india, near line: N"" in file: ""common/flavorization/N_title_holders.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: e_minister_chancellor: e_minister_chancellor, near line: N"" in file: ""common/flavorization/N_tgp_china_flavorization.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: e_minister_censor: e_minister_censor, near line: N"" in file: ""common/flavorization/N_tgp_china_flavorization.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: e_minister_grand_marshal: e_minister_grand_marshal, near line: N"" in file: ""common/flavorization/N_tgp_china_flavorization.txt"" near line: N"
pdx_persistent_reader,2,"Error: ""Failed to read key reference: e_minister_of_personnel: e_minister_of_personnel, near line: N"
bookmark,2,Bookmark character 'X' has invalid dynasty and invalid dynasty house scripted
jomini_effect,2,Event target 'X' is used but is never set. Setting it in an unused scripted trigger or effect does not count
history,2,Referencing non-existent character in script link character:dynamic_mongol_N
history,2,Referencing non-existent character in script link character:animation_test_female
history,2,Referencing non-existent character in script link character:animation_test_male
history,2,Referencing non-existent character in script link character:animation_test_dwarf_female
history,2,Referencing non-existent character in script link character:animation_test_dwarf_male
history,2,Referencing non-existent character in script link character:animation_test_fat_dwarf_female
history,2,Referencing non-existent character in script link character:animation_test_fat_dwarf_male
history,2,Referencing non-existent character in script link character:animation_test_hunchbacked_female
history,2,Referencing non-existent character in script link character:animation_test_hunchbacked_male
history,2,Referencing non-existent character in script link character:animation_test_female_child
history,2,Referencing non-existent character in script link character:animation_test_male_child
history,2,Referencing non-existent character in script link character:animation_test_muscular_female
history,2,Referencing non-existent character in script link character:animation_test_muscular_male
history,2,Referencing non-existent character in script link character:st_amand_N
history,2,Referencing non-existent character in script link character:danishmendid_N
history,2,Referencing non-existent character in script link character:ding_hui_N
history,2,Referencing non-existent character in script link character:zhu_quanzhong_N
history,2,Referencing non-existent character in script link character:japanese_miyoshi_N
history,2,Referencing non-existent character in script link character:ki_hwon_N
