folder,files,files_with_map_refs,title_scope,title_bare,province,character,dynasty,geo_region,culture,faith,map_refs,ATL_replace_path,ATL_shadows,ATL_stubs,EK2_replace_path,EK2_shadows,EK2_stubs,GH_replace_path,GH_shadows,GH_stubs
events/activities/funeral_activity,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0
events/activities/hold_court_activity,3,1,0,0,0,0,0,5,0,25,5,0,0,0,0,2,0,0,2,0
events/activities/hunt_activity,6,2,0,0,0,0,0,8,0,9,8,0,0,0,0,3,0,0,4,0
events/activities/imperial_examination_activity,4,2,19,0,0,0,0,0,3,0,19,0,0,0,0,2,0,0,2,0
events/activities/petition_liege_activity,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
events/activities/pilgrimage_activity,4,4,33,0,0,0,0,70,1,179,103,0,2,0,0,4,0,0,4,1
events/activities/playdate_activity,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0
events/activities/tour_activity,13,0,0,0,0,0,0,0,16,11,0,0,0,0,0,5,0,0,8,0
events/activities/tournaments,11,2,0,0,0,0,0,10,0,7,10,0,0,0,0,5,0,0,5,0
events/artifacts,2,1,110,0,0,3,1,1,0,32,115,0,1,0,0,2,0,0,2,0
events/councillor_task_events,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
events/councillor_task_events/councillor_spouse_events,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
events/court_events,8,2,6,0,0,0,0,15,6,10,21,0,0,0,0,3,0,0,3,0
events/courtier_guest_management_events,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
events/culture_events,4,1,1,0,0,0,0,12,6,0,13,0,0,0,0,1,0,0,3,0
events/death_events,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
events/decisions_events,19,13,337,13,0,1,0,58,48,321,409,0,6,0,0,16,5,0,15,9
events/diarchy_events,2,1,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,1,0
events/dlc/ach,3,1,15,0,0,0,0,4,1,7,19,0,0,0,0,2,0,0,2,0
events/dlc/bp1,9,1,0,0,0,0,0,24,0,13,24,0,0,0,0,3,0,0,5,0
events/dlc/bp2,16,4,0,0,0,0,0,12,0,42,12,0,0,0,0,8,0,0,8,0
events/dlc/bp2/story_cycles,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
events/dlc/bp3,5,1,0,0,4,0,0,11,0,4,15,0,1,0,0,2,0,0,2,0
events/dlc/ce1,9,4,34,0,0,1,0,2,0,22,37,0,3,0,0,7,0,0,7,0
events/dlc/ep1,7,2,24,0,0,0,0,16,2,9,40,0,0,0,0,3,0,0,2,0
events/dlc/ep2,2,1,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,2,0
events/dlc/ep2/wedding_events,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0
