id,kind,faerun_file,vanilla_file,status,changed_keys,uses_faerun_mechanic,vanilla_dup_count,faerun_dup_count
100151,letter_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100152,letter_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100153,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100160,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100161,letter_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100162,letter_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100163,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100164,letter_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100170,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100171,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100172,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100173,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100174,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100175,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100180,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,modified,trigger,,1,1
100181,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100182,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100183,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100184,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100185,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100186,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100190,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,job_titles,1,1
100191,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100192,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100193,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100194,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100195,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
1002,character_event,events/personality_traits_events.txt,events/personality_traits_events.txt,kept,,,1,1
10020,narrative_event,events/legends_events.txt,events/legends_events.txt,kept,,,1,1
100200,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,job_titles,1,1
100201,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100202,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100203,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100204,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
100205,character_event,events/friends_rivals_events.txt,events/friends_rivals_events.txt,kept,,,1,1
10021,narrative_event,events/legends_events.txt,events/legends_events.txt,kept,,,1,1
