path,width,height,format,mips,bytes,top_mip_bytes,canvas_fraction,map_sized
terrain/desert_flat_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_flat_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_flat_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_rocky_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_rocky_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_rocky_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_larger_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_larger_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_larger_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/detail_index.tga,9216,4608,TGA_32bpp_type2,1,169869356,1709309952,1.0,yes
terrain/detail_intensity.tga,9216,4608,TGA_32bpp_type2,1,169869356,1709309952,1.0,yes
terrain/drought_cracks_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drought_cracks_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drought_cracks_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drought_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drought_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drought_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_cracked_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_cracked_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_cracked_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_grassy_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_grassy_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_grassy_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drylands_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/farm_paddy_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/farm_paddy_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/farm_paddy_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/farmland_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/farmland_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/farmland_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/flat_maps/flatmap.dds,9216,4608,DXT1,1,21233792,21233664,1.0,yes
terrain/flat_maps/flatmap_tgp.dds,9216,4608,DXT1,1,21233792,21233664,1.0,yes
terrain/flat_maps/paper_tear_mask.dds,1024,1024,DXT1,11,699192,524288,0.1111,no
terrain/flood_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/flood_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/flood_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/floodplains_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/floodplains_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/floodplains_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_jungle_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_jungle_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_jungle_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_leaf_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_leaf_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_leaf_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_pine_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_pine_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forest_pine_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forestfloor_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forestfloor_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/forestfloor_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_base_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_base_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_base_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_hills_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_hills_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_hills_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_lowlands_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_lowlands_02_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
