edge,depth,r,g,b
left,92,0.0,0.0,0.0
left,93,0.0,0.0,0.0
left,94,0.0,0.0,0.0
left,95,0.0,0.0,0.0
right,0,145.0,244.0,255.0
right,1,145.0,244.0,255.0
right,2,150.0,249.0,255.0
right,3,156.0,255.0,255.0
right,4,153.0,255.0,255.0
right,5,153.0,255.0,255.0
right,6,153.0,255.0,255.0
right,7,153.0,255.0,255.0
right,8,153.0,255.0,255.0
right,9,153.0,255.0,255.0
right,10,153.0,255.0,255.0
right,11,153.0,255.0,255.0
right,12,153.0,255.0,255.0
right,13,153.0,255.0,255.0
right,14,153.0,255.0,255.0
right,15,153.0,255.0,255.0
right,16,153.0,255.0,255.0
right,17,153.0,255.0,255.0
right,18,153.0,255.0,255.0
right,19,153.0,255.0,255.0
right,20,153.0,255.0,255.0
right,21,153.0,255.0,255.0
right,22,153.0,255.0,255.0
right,23,153.0,255.0,255.0
right,24,153.0,255.0,255.0
right,25,153.0,255.0,255.0
right,26,153.0,255.0,255.0
right,27,153.0,255.0,255.0
right,28,153.0,255.0,255.0
right,29,153.0,255.0,255.0
right,30,153.0,255.0,255.0
right,31,153.0,255.0,255.0
right,32,153.0,255.0,255.0
right,33,153.0,255.0,255.0
right,34,153.0,255.0,255.0
right,35,153.0,255.0,255.0
right,36,153.0,255.0,255.0
right,37,153.0,255.0,255.0
right,38,153.0,255.0,255.0
right,39,153.0,255.0,255.0
right,40,153.0,255.0,255.0
right,41,153.0,255.0,255.0
right,42,153.0,255.0,255.0
right,43,153.0,255.0,255.0
right,44,153.0,255.0,255.0
right,45,153.0,255.0,255.0
right,46,153.0,255.0,255.0
right,47,153.0,255.0,255.0
right,48,153.0,255.0,255.0
right,49,153.0,255.0,255.0
right,50,153.0,255.0,255.0
right,51,153.0,255.0,255.0
right,52,153.0,255.0,255.0
right,53,153.0,255.0,255.0
right,54,153.0,255.0,255.0
right,55,153.0,255.0,255.0
right,56,153.0,255.0,255.0
right,57,153.0,255.0,255.0
right,58,153.0,255.0,255.0
right,59,153.0,255.0,255.0
right,60,153.0,255.0,255.0
right,61,153.0,255.0,255.0
right,62,153.0,255.0,255.0
right,63,153.0,255.0,255.0
right,64,153.0,255.0,255.0
right,65,153.0,255.0,255.0
right,66,153.0,255.0,255.0
right,67,153.0,255.0,255.0
right,68,153.0,255.0,255.0
right,69,153.0,255.0,255.0
right,70,153.0,255.0,255.0
right,71,153.0,255.0,255.0
right,72,153.0,255.0,255.0
right,73,153.0,255.0,255.0
right,74,153.0,255.0,255.0
right,75,153.0,255.0,255.0
right,76,153.0,255.0,255.0
right,77,153.0,255.0,255.0
right,78,153.0,255.0,255.0
right,79,153.0,255.0,255.0
right,80,153.0,255.0,255.0
right,81,153.0,255.0,255.0
right,82,153.0,255.0,255.0
right,83,153.0,255.0,255.0
right,84,153.0,255.0,255.0
right,85,153.0,255.0,255.0
right,86,153.0,255.0,255.0
right,87,153.0,255.0,255.0
right,88,153.0,255.0,255.0
right,89,153.0,255.0,255.0
right,90,153.0,255.0,255.0
right,91,153.0,255.0,255.0
right,92,153.0,255.0,255.0
right,93,153.0,255.0,255.0
right,94,153.0,255.0,255.0
right,95,153.0,255.0,255.0
