stage,level,count
now,7590,4600
now,7591,4603
now,7592,4598
now,7593,4557
now,7594,4714
now,7595,4472
now,7596,4606
now,7597,4565
now,7598,4508
now,7599,4517
now,7600,4622
now,7601,4616
now,7602,4577
now,7603,4611
now,7604,4608
now,7605,4455
now,7606,4580
now,7607,4653
now,7608,4573
now,7609,4667
now,7610,4638
now,7611,4631
now,7612,4560
now,7613,4465
now,7614,4582
now,7615,4652
now,7616,4553
now,7617,4631
now,7618,4626
now,7619,4524
now,7620,4626
now,7621,4491
now,7622,4505
now,7623,4537
now,7624,4696
now,7625,4626
now,7626,4573
now,7627,4513
now,7628,4459
now,7629,4573
now,7630,4584
now,7631,4510
now,7632,4592
now,7633,4572
now,7634,4580
now,7635,4570
now,7636,4590
now,7637,4523
now,7638,4546
now,7639,4629
now,7640,4566
now,7641,4690
now,7642,4667
now,7643,4636
now,7644,4666
now,7645,4476
now,7646,4517
now,7647,4618
now,7648,4574
now,7649,4648
now,7650,4551
now,7651,4519
now,7652,4568
now,7653,4514
now,7654,4491
now,7655,4623
now,7656,4547
now,7657,4531
now,7658,4600
now,7659,4631
now,7660,4485
now,7661,4551
now,7662,4646
now,7663,4561
now,7664,4414
now,7665,4640
now,7666,4537
now,7667,4594
now,7668,4500
now,7669,4573
now,7670,4654
now,7671,4575
now,7672,4524
now,7673,4532
now,7674,4681
now,7675,4451
now,7676,4589
now,7677,4519
now,7678,4534
now,7679,4644
now,7680,4531
now,7681,4566
now,7682,4500
now,7683,4550
now,7684,4497
now,7685,4621
now,7686,4661
now,7687,4420
now,7688,4538
now,7689,4490
now,7690,4630
now,7691,4529
now,7692,4533
now,7693,4438
now,7694,4532
now,7695,4542
now,7696,4623
now,7697,4576
now,7698,4514
now,7699,4541
now,7700,4543
now,7701,4553
now,7702,4540
now,7703,4505
now,7704,4574
now,7705,4544
now,7706,4550
now,7707,4476
now,7708,4453
now,7709,4369
now,7710,4704
now,7711,4556
now,7712,4490
now,7713,4515
now,7714,4716
now,7715,4552
now,7716,4623
now,7717,4589
now,7718,4593
now,7719,4530
now,7720,4465
now,7721,4505
now,7722,4528
now,7723,4525
now,7724,4558
now,7725,4539
now,7726,4527
now,7727,4549
now,7728,4559
now,7729,4607
now,7730,4629
now,7731,4484
now,7732,4573
now,7733,4582
now,7734,4511
now,7735,4505
now,7736,4505
now,7737,4602
now,7738,4494
now,7739,4537
now,7740,4613
now,7741,4602
now,7742,4504
now,7743,4472
now,7744,4540
now,7745,4508
now,7746,4541
now,7747,4493
now,7748,4499
now,7749,4459
now,7750,4567
now,7751,4616
now,7752,4521
now,7753,4576
now,7754,4621
now,7755,4563
now,7756,4473
now,7757,4615
now,7758,4536
now,7759,4354
now,7760,4449
now,7761,4643
now,7762,4528
now,7763,4550
now,7764,4635
now,7765,4467
now,7766,4595
now,7767,4541
now,7768,4564
now,7769,4585
now,7770,4554
now,7771,4533
now,7772,4626
now,7773,4508
now,7774,4565
now,7775,4578
now,7776,4573
now,7777,4566
now,7778,4577
now,7779,4535
now,7780,4402
now,7781,4598
now,7782,4573
now,7783,4517
now,7784,4540
now,7785,4477
now,7786,4515
now,7787,4524
now,7788,4592
now,7789,4538
now,7790,4518
now,7791,4503
now,7792,4441
now,7793,4502
now,7794,4657
now,7795,4459
now,7796,4436
now,7797,4513
now,7798,4476
now,7799,4473
now,7800,4574
now,7801,4547
now,7802,4495
now,7803,4528
now,7804,4652
now,7805,4551
now,7806,4547
now,7807,4651
now,7808,4533
now,7809,4486
now,7810,4445
now,7811,4573
now,7812,4527
now,7813,4602
now,7814,4585
now,7815,4533
now,7816,4579
now,7817,4497
now,7818,4549
now,7819,4515
now,7820,4403
now,7821,4496
now,7822,4574
now,7823,4477
now,7824,4558
now,7825,4459
now,7826,4470
now,7827,4496
now,7828,4388
now,7829,4550
now,7830,4498
now,7831,4470
now,7832,4515
now,7833,4471
now,7834,4470
now,7835,4473
now,7836,4533
now,7837,4545
now,7838,4586
now,7839,4573
now,7840,4587
now,7841,4469
now,7842,4502
now,7843,4459
now,7844,4451
now,7845,4536
now,7846,4485
now,7847,4524
now,7848,4406
now,7849,4597
now,7850,4576
now,7851,4514
now,7852,4524
now,7853,4606
now,7854,4373
now,7855,4582
now,7856,4502
now,7857,4461
now,7858,4490
now,7859,4436
now,7860,4470
now,7861,4457
now,7862,4487
now,7863,4500
now,7864,4504
now,7865,4645
now,7866,4502
now,7867,4392
now,7868,4481
now,7869,4507
now,7870,4459
now,7871,4553
now,7872,4423
now,7873,4496
now,7874,4653
now,7875,4461
now,7876,4377
now,7877,4507
now,7878,4364
now,7879,4454
now,7880,4563
now,7881,4542
now,7882,4473
now,7883,4461
now,7884,4495
now,7885,4495
now,7886,4425
now,7887,4480
now,7888,4370
now,7889,4414
now,7890,4508
now,7891,4371
now,7892,4485
now,7893,4537
now,7894,4433
now,7895,4445
now,7896,4399
now,7897,4364
now,7898,4420
now,7899,4518
now,7900,4502
now,7901,4487
now,7902,4520
now,7903,4458
now,7904,4489
now,7905,4444
now,7906,4626
now,7907,4497
now,7908,4465
now,7909,4568
now,7910,4506
now,7911,4419
now,7912,4475
now,7913,4480
now,7914,4318
now,7915,4539
now,7916,4510
now,7917,4488
now,7918,4454
now,7919,4453
now,7920,4447
now,7921,4433
now,7922,4307
now,7923,4443
now,7924,4498
now,7925,4514
now,7926,4387
now,7927,4541
now,7928,4465
now,7929,4360
now,7930,4498
now,7931,4396
now,7932,4663
now,7933,4385
now,7934,4547
now,7935,4432
now,7936,4373
now,7937,4475
now,7938,4464
now,7939,4355
now,7940,4467
now,7941,4437
now,7942,4427
now,7943,4439
now,7944,4313
now,7945,4459
now,7946,4362
now,7947,4433
now,7948,4505
now,7949,4554
now,7950,4422
now,7951,4491
now,7952,4424
now,7953,4556
now,7954,4475
now,7955,4318
now,7956,4378
now,7957,4366
now,7958,4377
now,7959,4345
now,7960,4471
now,7961,4375
now,7962,4336
now,7963,4409
now,7964,4349
now,7965,4423
now,7966,4389
now,7967,4486
now,7968,4439
now,7969,4444
now,7970,4378
now,7971,4347
now,7972,4398
now,7973,4408
now,7974,4428
now,7975,4406
now,7976,4385
now,7977,4425
now,7978,4426
now,7979,4213
now,7980,4437
now,7981,4430
now,7982,4410
now,7983,4431
now,7984,4413
now,7985,4441
now,7986,4474
now,7987,4341
now,7988,4418
now,7989,4385
now,7990,4347
now,7991,4385
now,7992,4343
now,7993,4304
now,7994,4363
now,7995,4384
now,7996,4402
now,7997,4323
now,7998,4345
now,7999,4363
now,8000,4473
now,8001,4462
now,8002,4383
now,8003,4303
now,8004,4361
now,8005,4433
now,8006,4404
now,8007,4391
now,8008,4369
now,8009,4454
now,8010,4415
now,8011,4341
now,8012,4387
now,8013,4397
now,8014,4378
now,8015,4455
now,8016,4335
now,8017,4271
now,8018,4403
now,8019,4392
now,8020,4319
now,8021,4452
now,8022,4413
now,8023,4391
now,8024,4366
now,8025,4357
now,8026,4389
now,8027,4333
now,8028,4349
now,8029,4400
now,8030,4305
now,8031,4465
now,8032,4304
now,8033,4232
now,8034,4264
now,8035,4373
now,8036,4346
now,8037,4232
now,8038,4368
now,8039,4216
now,8040,4456
now,8041,4251
now,8042,4303
now,8043,4268
now,8044,4219
now,8045,4339
now,8046,4281
now,8047,4302
now,8048,4327
now,8049,4184
now,8050,4205
now,8051,4381
now,8052,4335
now,8053,4370
now,8054,4199
now,8055,4224
now,8056,4307
now,8057,4309
now,8058,4344
now,8059,4288
now,8060,4250
now,8061,4182
now,8062,4317
now,8063,4383
now,8064,4373
now,8065,4434
now,8066,4336
now,8067,4290
now,8068,4217
now,8069,4304
now,8070,4334
now,8071,4249
now,8072,4419
now,8073,4188
now,8074,4202
now,8075,4275
now,8076,4349
now,8077,4222
now,8078,4340
now,8079,4239
now,8080,4255
now,8081,4269
now,8082,4291
now,8083,4236
now,8084,4337
now,8085,4276
now,8086,4257
now,8087,4196
now,8088,4362
now,8089,4277
now,8090,4302
now,8091,4384
now,8092,4295
now,8093,4272
now,8094,4378
now,8095,4263
now,8096,4330
now,8097,4338
now,8098,4204
now,8099,4256
now,8100,4293
now,8101,4113
now,8102,4184
now,8103,4352
now,8104,4333
now,8105,4202
now,8106,4353
now,8107,4249
now,8108,4239
now,8109,4221
now,8110,4263
now,8111,4282
now,8112,4292
now,8113,4303
now,8114,4398
now,8115,4224
now,8116,4207
now,8117,4132
now,8118,4342
now,8119,4398
now,8120,4209
now,8121,4181
now,8122,4239
now,8123,4268
now,8124,4193
now,8125,4221
now,8126,4282
now,8127,4242
now,8128,4152
now,8129,4316
now,8130,4142
now,8131,4245
now,8132,4295
now,8133,4183
now,8134,4229
now,8135,4124
now,8136,4137
now,8137,4172
now,8138,4384
now,8139,4367
now,8140,4259
now,8141,4194
now,8142,4114
now,8143,4162
now,8144,4203
now,8145,4303
now,8146,4278
now,8147,4287
now,8148,4304
now,8149,4220
now,8150,4239
now,8151,4206
now,8152,4260
now,8153,4291
now,8154,4208
now,8155,4200
now,8156,4178
now,8157,4206
now,8158,4164
now,8159,4085
now,8160,4195
now,8161,4137
now,8162,4269
now,8163,4179
now,8164,4082
now,8165,4259
now,8166,4340
now,8167,4195
now,8168,4149
now,8169,4238
now,8170,4105
now,8171,4138
now,8172,4194
now,8173,4292
now,8174,4257
now,8175,4278
now,8176,4063
now,8177,4249
now,8178,4199
now,8179,4100
now,8180,4208
now,8181,4216
now,8182,4217
now,8183,4236
now,8184,4279
now,8185,4236
now,8186,4162
now,8187,4275
now,8188,4189
now,8189,4078
now,8190,4183
now,8191,4143
now,8192,4235
now,8193,4259
now,8194,4236
now,8195,4105
now,8196,4136
now,8197,4155
now,8198,4214
now,8199,4202
now,8200,4210
now,8201,4134
now,8202,4217
now,8203,4262
now,8204,4176
now,8205,4256
now,8206,4157
now,8207,4127
now,8208,4132
now,8209,4138
now,8210,4127
now,8211,4196
now,8212,4076
now,8213,4183
now,8214,4116
now,8215,4083
now,8216,4188
now,8217,4147
now,8218,4175
now,8219,4171
now,8220,4091
now,8221,4209
now,8222,4065
now,8223,4123
now,8224,4151
now,8225,4074
now,8226,4126
now,8227,4108
now,8228,4128
now,8229,4061
now,8230,4145
now,8231,4179
now,8232,4129
now,8233,4192
now,8234,4091
now,8235,4218
now,8236,4055
now,8237,3974
now,8238,4204
now,8239,4132
now,8240,4113
now,8241,4016
now,8242,4180
now,8243,4139
now,8244,4143
now,8245,4156
now,8246,4084
now,8247,4161
now,8248,4174
now,8249,3974
now,8250,4099
now,8251,4112
now,8252,4030
now,8253,4070
now,8254,4067
now,8255,4122
now,8256,4090
now,8257,4176
now,8258,4094
now,8259,4041
now,8260,4128
now,8261,4154
now,8262,4165
now,8263,4070
now,8264,4097
now,8265,4023
now,8266,4144
now,8267,4027
now,8268,4061
now,8269,3966
now,8270,4061
now,8271,4070
now,8272,4164
now,8273,4048
now,8274,4006
now,8275,4025
now,8276,4060
now,8277,3949
now,8278,3986
now,8279,4025
now,8280,4059
now,8281,4102
now,8282,4093
now,8283,4035
now,8284,3997
now,8285,4105
now,8286,4061
now,8287,4053
now,8288,4124
